Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Université Toulouse 1 Capitole;Licence - Economie - Parcours parcours Economie et Gestion;parcours Economie et Gestion;400;0;88;95;63;11;1;0;34;37;24;4;0;397;3390
IDRAC Business School - Campus de Lyon;Formation des écoles de commerce et de management Bac + 3;Approfondissement en : marketing digital, international, sport & business et approfondissement personnalisable;400;0;33;15;5;1;0;0;61;28;9;2;0;69;785
Université de Limoges;Licence - Portail Droit - Droit Limoges;Droit Limoges;400;0;100;94;49;18;1;0;38;36;19;7;0;329;1945
UTC Université de Technologie de Compiègne;Formation d'ingénieur Bac + 5 - Série générale;Série générale;400;0;0;0;32;230;71;0;0;0;10;69;21;388;7315
Université de Lorraine - Site de Nancy;Licence - Psychologie;;400;0;121;113;55;17;1;0;39;37;18;6;0;398;5576
PSB Paris School of Business;Formation des écoles de commerce et de management;;400;0;33;63;16;3;1;0;28;54;14;3;1;148;5854
Université de Nîmes;Licence - Portail Psychologie;;400;0;122;89;33;3;1;0;49;36;13;1;0;416;4378
Toulouse Business School;Formation des écoles de commerce et de management Bac + 3 - Bachelor en Management;Bachelor en Management;400;0;113;130;61;14;0;0;36;41;19;4;0;389;1368
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Langues étrangères appliquées;;400;0;104;69;45;6;0;0;46;31;20;3;0;370;1618
Université de Strasbourg;Licence - Sciences pour la santé - Sciences pour la santé - Sciences de la vie -  Accès Santé;Sciences pour la santé - Sciences de la vie;400;0;22;98;133;94;11;0;6;27;36;26;3;395;2694
Faculté de Médecine et de Maïeutique-Institut Catholique de Lille;Licence - Portail Sciences pour la santé;;400;0;27;135;177;102;13;0;6;30;39;22;3;458;1597
Université de Poitiers;Licence - Droit;;395;0;103;106;86;29;0;0;32;33;27;9;0;387;2301
Université Clermont Auvergne;Licence - Portail Biologie-Chimie;Biologie-Chimie;395;0;57;44;19;7;1;0;45;34;15;5;1;280;2413
ECE Paris;Formation d'ingénieur Bac + 5 - Bac Série générale;Bac Série générale;395;0;6;128;285;40;0;0;1;28;62;9;0;459;5439
Université d'Amiens;Licence - Economie et gestion;;394;0;128;47;18;5;2;0;64;24;9;2;1;378;2336
Université Polytechnique Hauts-de-France;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS - Sciences et Techniques des Activités Physiques et Sportives;STAPS - Sciences et Techniques des Activités Physiques et Sportives;392;0;195;101;23;5;0;0;60;31;7;2;0;382;2884
Université de Rennes 1;Licence - Portail Portail Biologie Environnement Chimie du vivant;Portail Biologie Environnement Chimie du vivant;390;0;52;94;70;24;3;0;21;39;29;10;1;381;3520
Université Jean Moulin Lyon 3;Licence - Portail Management et Sciences Humaines (MSH);Management et Sciences Humaines (MSH);385;0;54;136;113;18;1;0;17;42;35;6;0;382;2865
Aix-Marseille Université - Site de Marseille Timone;Licence - Parcours d'Accès Spécifique Santé (PASS);;384;0;86;151;66;17;2;0;27;47;20;5;1;372;4237
Université de Franche-Comté - Site de Besançon;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;380;0;159;117;31;9;0;0;50;37;10;3;0;377;3068
Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales;Licence - Lettres - Parcours LETTRES MODERNES;LETTRES MODERNES;380;0;61;63;41;14;2;0;34;35;23;8;1;373;2314
Université Paris 1 Panthéon Sorbonne;Licence - Administration économique et sociale - Parcours AES - Ressources humaines;AES - Ressources humaines;379;0;21;121;146;29;0;0;7;38;46;9;0;371;7593
Université Paul Valery - Montpellier 3;Licence - Cinéma et Audiovisuel;;375;0;74;135;79;16;1;0;24;44;26;5;0;426;3630
Université Paris 1 Panthéon Sorbonne;Licence - Arts plastiques;;375;0;50;111;104;28;1;0;17;38;35;9;0;372;3877
Université Grenoble Alpes;Licence - Portail Psychologie - Psychologie - Grenoble;Psychologie - Grenoble;374;0;64;114;72;21;1;0;24;42;26;8;0;371;4516
Nantes Université;Licence - Portail Economie et gestion;;372;0;111;101;47;7;1;0;42;38;18;3;0;362;3933
Université de Lille;Licence - Histoire;;370;0;76;61;44;13;3;0;39;31;22;7;2;363;2675
Université de Lorraine - Site de Metz;Licence - Portail Droit;;370;0;121;95;53;8;1;0;43;34;19;3;0;365;2868
Université de Montpellier;Licence - Portail Economie - Economie (Faculté d'Economie);Economie (Faculté d'Economie);370;0;75;87;33;9;0;0;37;43;16;4;0;350;4008
Université de Lille;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Anglais;Anglais;370;0;53;105;76;32;3;0;20;39;28;12;1;364;2652
Université Paris 8;Licence - Droit;;370;0;171;91;16;1;0;0;61;33;6;0;0;430;4366
Université Angers;Licence - Portail Psychologie;;368;0;69;116;50;18;0;0;27;46;20;7;0;364;6099
Sorbonne Université - Sciences et Ingénierie;Licence - Portail Sciences formelles;Sciences formelles;365;0;9;24;90;66;8;0;5;12;46;34;4;357;8060
Université de Rennes 2;Licence - Arts plastiques;;365;0;93;110;63;6;0;0;34;40;23;2;0;379;2311
Université Angers;Licence - Portail Economie et gestion;;365;0;116;88;35;9;0;0;47;35;14;4;0;360;3496
Université Paris Nanterre;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;363;0;103;153;55;10;0;0;32;48;17;3;0;360;6110
Université de Reims Champagne-Ardenne;Licence - Economie et gestion;;362;0;114;36;20;2;1;0;66;21;12;1;1;349;1886
Université de Lille;Licence - Langues étrangères appliquées - Parcours Anglais espagnol appliqués aux affaires;Anglais espagnol appliqués aux affaires;360;0;67;72;36;7;1;0;37;39;20;4;1;329;1786
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Licence Sciences de la Vie et de la Terre / Licence Sciences de la Terre / Licence Sciences de la Vie;Licence Sciences de la Vie et de la Terre / Licence Sciences de la Terre / Licence Sciences de la Vie;360;0;84;66;51;8;0;0;40;32;24;4;0;328;2534
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Anglais;Anglais;360;0;91;83;43;6;0;0;41;37;19;3;0;330;1501
Université Angers;Licence - Portail Droit;;360;0;97;135;80;11;0;0;30;42;25;3;0;362;3399
Université de Lorraine - Site de Nancy;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;360;0;129;105;51;4;0;0;45;36;18;1;0;354;3320
Université de La Réunion - Saint Denis;Licence - Portail Sciences sociales;;360;0;80;55;18;0;0;0;52;36;12;0;0;291;1379
Université de Rennes 2;Licence - Information et communication;;360;0;51;139;76;14;1;0;18;49;27;5;0;373;3907
Université de Poitiers;Licence - Sciences de la vie;;360;0;64;83;37;13;2;0;32;42;19;7;1;303;1992
Université de Bourgogne - site de Dijon;Licence - Portail Sciences de la vie / Sciences de la terre;Sciences de la vie / Sciences de la terre;360;0;61;62;41;13;1;0;34;35;23;7;1;289;2647
Université de Reims Champagne-Ardenne;Licence - Psychologie;;360;0;81;113;53;15;0;0;31;43;20;6;0;359;3351
Ecole Universitaire de premier cycle - Campus de Sceaux Université Paris-Saclay;Licence - Portail Droit - Parcours Droit;Droit - Campus de Sceaux;355;0;33;151;120;14;0;0;10;47;38;4;0;349;4115
Université de La Réunion - Saint Denis;Licence - Portail Sciences de la vie;;353;0;63;39;25;7;1;0;47;29;19;5;1;222;1270
IUT de Sceaux-Ecole universitaire de premier cycle-Université Paris-Saclay.;BUT - Techniques de commercialisation;;351;0;10;120;147;30;0;0;3;39;48;10;0;344;8977
Université de Versailles - Saint Quentin en Yvelines;Licence - Portail Droit;;350;0;94;143;68;10;0;0;30;45;22;3;0;346;2533
Université d'Orléans;Licence - Economie et gestion;;350;0;149;68;17;9;0;0;61;28;7;4;0;346;2615
EDHEC Lille;Formation des écoles de commerce et de management Bac + 4;International BBA - Parcours Business Management - French Track;350;0;6;89;198;83;4;0;2;23;52;22;1;411;4397
Université de Paris;Diplôme d'Université - PAREO;PAREO;350;0;121;36;6;0;0;0;74;22;4;0;0;267;623
Université de Caen Normandie;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;350;0;135;140;39;7;0;0;42;44;12;2;0;347;3119
Université Paris 2 Panthéon - Assas;Licence - Economie et gestion - Parcours Economie gestion;Economie gestion;350;0;42;117;123;30;0;0;13;38;39;10;0;333;11040
Université d'Orléans;Licence - Droit - Parcours Droit général;Droit général;350;0;120;101;55;9;0;0;42;35;19;3;0;348;1830
Université des Antilles - Pôle Guadeloupe;Licence - Portail Economie et gestion - Métiers de l?environnement & aménagement du territoire/Métiers de l?expertise éco & managériale - Guadeloupe;Métiers de l?environnement & aménagement du territoire/Métiers de l?expertise éco & managériale/Métiers de l?ingénierie éco & juridique - Guadeloupe;350;0;76;57;10;2;0;0;52;39;7;1;0;206;740
Université des Antilles - Pôle Martinique;Licence - Portail Economie et gestion - Comptabilité, contrôle, audit  / Monnaie-Banque-Finance / Management des entreprises / Economie et politique publique - Martinique;Comptabilité, contrôle, audit  / Monnaie-Banque-Finance / Management des entreprises / Economie et politique publique - Martinique;350;0;42;27;11;2;0;0;51;33;13;2;0;123;740
Université de Lorraine - Site de Metz;Licence - Administration économique et sociale;;350;0;126;43;16;4;0;0;66;23;8;2;0;322;2165
Université de Franche-Comté - Site de Besançon;Licence - Portail Droit;;350;0;76;129;73;13;2;0;26;44;25;4;1;348;1734
Université Claude Bernard Lyon 1;Licence - Parcours d'Accès Spécifique Santé (PASS);proposée par l?Université Claude Bernard Lyon 1;345;0;8;33;111;162;24;0;2;10;33;48;7;343;8018
Aix-Marseille Université - Site de Marseille Luminy;Licence - Portail Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales;Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales - site de Luminy;345;0;63;66;41;9;1;0;35;36;23;5;1;300;4082
Aix Marseille Université - Site d'Aix-en-Provence;Licence - Langues étrangères appliquées - Parcours LEA Anglais-Espagnol;LEA Anglais-Espagnol;343;0;57;68;36;10;2;0;33;39;21;6;1;291;1714
Avignon Université;Licence - Portail Droit;;343;0;107;89;47;8;0;0;43;35;19;3;0;338;2467
Université Paris 1 Panthéon Sorbonne;Licence - Histoire de l'art et archéologie;;340;0;25;76;98;30;3;0;11;33;42;13;1;327;3279
UniLaSalle Beauvais;Formation d'ingénieur Bac + 5 - Série générale;Série générale;340;0;27;105;108;35;0;0;10;38;39;13;0;276;914
Université de Rennes 2;Licence - Administration économique et sociale - Parcours Administration Economique  et Sociale (site de Rennes);Administration Economique  et Sociale (site de Rennes);340;0;95;72;18;7;0;0;49;38;9;4;0;342;3262
ESILV - Paris la Défense;Formation d'ingénieur Bac + 5 - Bac Série générale;Bac Série générale;340;0;0;12;205;155;6;0;0;3;54;41;2;378;5611
Université de Toulon;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Licence STAPS;Licence STAPS;339;0;145;104;38;2;0;0;50;36;13;1;0;335;3181
Université de Brest;Licence - Portail BCG : Biologie, Chimie, Géologie;BCG : Biologie, Chimie, Géologie;338;0;43;64;51;13;0;0;25;37;30;8;0;284;1990
Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales;Licence - Portail Lettres - LETTRES EDITION MEDIAS AUDIOVISUEL;LETTRES EDITION MEDIAS AUDIOVISUEL;335;0;52;80;81;28;1;0;21;33;33;12;0;333;1857
Ecole Universitaire de premier cycle - Campus d'Orsay Université Paris-Saclay;Licence - Parcours d'Accès Spécifique Santé (PASS);Sciences fondamentales (Maths, Physique, Informatique pour la Chimie et la Biologie);335;0;8;61;142;81;17;0;3;20;46;26;6;329;7265
Université de Rennes 2;Licence - Histoire - Parcours Histoire (site de Rennes);Histoire (site de Rennes);335;0;66;71;58;6;0;0;33;35;29;3;0;309;2556
Aix-Marseille Université - Site de Marseille Saint Charles;Licence - Portail Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales;Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales - site de Saint Charles;335;0;54;41;16;2;0;0;48;36;14;2;0;295;4233
Université de Toulon;Licence - Portail Economie et gestion - Licence d'Economie et Gestion - Campus Toulon Centre Ville;Licence d'Economie et Gestion - Campus Toulon Centre Ville;335;0;94;49;19;4;0;0;57;30;11;2;0;290;2273
Université de Lorraine - Site de Nancy;Licence - Portail Licence 1ère année Portail Sciences de la vie et de l'environnement;Licence 1ère année Portail Sciences de la vie et de l'environnement;332;0;54;60;29;13;0;0;35;38;19;8;0;282;2345
Université de Paris;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;330;0;62;143;81;16;0;0;21;47;27;5;0;327;7594
3IS Institut International de l'Image et du Son;Formation des écoles supérieure d'art Bac + 3 - Cinéma Audiovisuel/Son - Option Cinéma Audiovisuel;Cinéma Audiovisuel/Son - Option Cinéma Audiovisuel;330;0;36;38;31;6;0;0;32;34;28;5;0;162;863
Le Mans Université;Licence - Portail Droit;;330;0;113;98;40;8;0;0;43;38;15;3;0;311;1670
Université Sorbonne Paris Nord;Licence - Portail Droit;;330;0;147;71;16;3;0;0;62;30;7;1;0;301;2341
Université Jean Moulin Lyon 3;Licence - Portail Science Politique - Droit;Science Politique - Droit;330;0;2;55;151;76;4;0;1;19;52;26;1;324;4375
Université Polytechnique Hauts-de-France;Licence - Portail Droit;;330;0;83;59;39;9;0;0;44;31;21;5;0;240;1635
Nantes Université;Licence - Portail Sciences de la vie;;327;0;37;65;44;8;1;0;24;42;28;5;1;293;3310
Université Jean Moulin Lyon 3;Licence - Portail Techniques Quantitatives et Management (TQM);Techniques Quantitatives et Management (TQM);325;0;68;101;70;18;0;0;26;39;27;7;0;325;1955
Université de Franche-Comté - Site de Besançon;Licence - Portail Psychologie;;325;0;97;95;39;8;0;0;41;40;16;3;0;311;2821
Université de Rennes 2;Licence - Langues étrangères appliquées - Parcours Langues Etrangères Appliquées : Anglais et Espagnol (niveau B1/B2 attendu pour les 2 langues);Langues Etrangères Appliquées : Anglais et Espagnol (niveau B1/B2 attendu pour les 2 langues);325;0;82;84;34;3;1;0;40;41;17;1;0;311;1697
Aix Marseille Université - Site d'Aix-en-Provence;Licence - Portail  LLCER Anglais;LLCER Anglais;321;0;47;68;40;7;0;0;29;42;25;4;0;270;2175
I.U.T de Toulouse;BUT - Gestion des entreprises et des administrations;;320;0;69;169;78;16;0;0;21;51;23;5;0;380;6107
Campus des Comtes de champagne - URCA;Licence - Droit;;320;0;83;51;18;2;0;0;54;33;12;1;0;213;1205
Université de Caen Normandie;Licence - Portail Psychologie;;320;0;54;101;54;12;2;0;24;45;24;5;1;316;3535
Université Bordeaux Montaigne;Licence - Histoire de l'art et archéologie - Parcours Licence 1 Histoire de l'art;Licence 1 Histoire de l'art;320;0;98;60;26;6;2;0;51;31;14;3;1;310;1780
Université Sorbonne Nouvelle Paris 3;Licence - Lettres - Parcours Lettres - Mineure Littératures;Lettres - Mineure Littératures;320;0;61;40;11;2;0;0;54;35;10;2;0;314;1244
Université de Tours;Licence - Histoire;;320;0;75;50;38;10;0;0;43;29;22;6;0;276;1572
Ecole Universitaire de premier cycle - Campus d'Orsay Université Paris-Saclay;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Tronc Commun STAPS;Tronc Commun STAPS;320;0;106;113;56;5;1;0;38;40;20;2;0;318;3825
Université de Lille;Licence - Parcours d'Accès Spécifique Santé (PASS);;320;0;0;14;79;172;58;0;0;4;24;53;18;326;8042
Université de Brest;Licence - Portail Droit - Droit parcours général;Droit parcours général : Université de Brest;320;0;80;91;54;11;1;0;34;38;23;5;0;309;2169
INALCO;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Asie de l?Est - Japonais;Asie de l?Est - Japonais;320;0;16;49;67;24;2;0;10;31;42;15;1;317;1963
Université de Lorraine - Site de Nancy;Licence - Portail Licence 1ère année Portail Mathématiques - Informatique;Licence 1ère année Portail Mathématiques - Informatique;320;0;26;24;16;6;1;0;36;33;22;8;1;129;1468
Sorbonne Université - Sciences et Ingénierie;Licence - Portail Sciences de la nature;Sciences de la nature;320;0;4;24;105;65;8;0;2;12;51;31;4;339;6506
Université de Tours;Licence - Sociologie;;320;0;119;42;27;4;1;0;62;22;14;2;1;314;1927
Université Paris 8;Licence - Arts plastiques;;315;0;177;103;14;1;0;0;60;35;5;0;0;307;2319
Université de Strasbourg;Licence - Mathématiques - Parcours Mathématiques et Informatique;Mathématiques et Informatique;315;0;44;48;20;12;1;0;35;38;16;10;1;299;1977
Université Côte d'Azur;Licence - Information et communication;;315;0;89;77;32;3;0;0;44;38;16;1;0;301;3690
IFSI CHR Metz;D.E Infirmier;;315;0;53;79;37;13;1;0;29;43;20;7;1;314;4929
Université Clermont Auvergne;Licence - Portail STAPS;STAPS - Clermont-Ferrand;315;0;153;87;39;7;0;0;53;30;14;2;0;312;3089
Le Mans Université;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours HORS parcours Masso-Kinésithérapie;HORS parcours Masso-Kinésithérapie;315;0;166;100;21;3;0;0;57;34;7;1;0;312;1957
Université Claude Bernard Lyon 1;Licence - Portail portail Mathématiques / Informatique;portail Mathématiques / Informatique;315;0;56;82;41;9;3;0;29;43;21;5;2;315;3627
Université Sorbonne Nouvelle Paris 3;Licence - Cinéma et Audiovisuel - Parcours Cinéma et Audiovisuel - Mineure Arts et Médias;Cinéma et Audiovisuel - Mineure Arts et Médias;313;0;14;68;93;25;1;0;7;34;46;12;0;307;4895
ESSCA School of Management - Angers;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole;310;0;56;140;114;18;0;0;17;43;35;5;0;343;4221
Université de Lille;Licence - Sociologie - Parcours Sociologie, ethnologie et politiques sociales;Sociologie, ethnologie et politiques sociales;310;0;56;60;27;6;1;0;37;40;18;4;1;303;2391
ESSCA School of Management - Paris;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole;310;0;78;160;90;10;0;0;23;47;27;3;0;359;5282
Université Savoie Mont Blanc - Bourget-du-Lac;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS;STAPS;307;0;102;104;45;9;1;0;39;40;17;3;0;304;2890
Université de Cergy-Pontoise - CY SUP;Licence - Portail Biologie et Ingénierie;BIOLOGIE ET INGENIERIE;307;0;110;76;27;2;0;0;51;35;13;1;0;299;1729
Université Paris 8;Licence - Psychologie;;305;0;43;136;41;6;0;0;19;60;18;3;0;332;7125
Université Savoie Mont Blanc - Chambéry;Licence - Portail Psychologie;;305;0;63;93;52;14;0;0;28;42;23;6;0;304;2835
Université de La Réunion - Saint Denis;Licence - Histoire;;305;0;67;36;17;1;0;0;55;30;14;1;0;200;997
Université de Lille;Licence - Portail Sciences pour la santé;;305;0;56;96;69;23;0;0;23;39;28;9;0;296;2816
Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales;Licence - Histoire de l'art et archéologie - Parcours ARCHEOLOGIE ET HISTOIRE DE L'ART;ARCHEOLOGIE ET HISTOIRE DE L'ART;300;0;43;74;69;14;2;0;21;37;34;7;1;295;2862
Université Sorbonne Paris Nord - Antenne de Bobigny;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Sciences et techniques des activités physiques et sportives (STAPS);Sciences et techniques des activités physiques et sportives (STAPS);300;0;118;104;19;1;0;0;49;43;8;0;0;286;4904
EMLV - École de Management Léonard De Vinci;Formation des écoles de commerce et de management;;300;0;79;141;93;12;0;0;24;43;29;4;0;344;6455
Université de Versailles - Saint Quentin en Yvelines;Licence - Parcours d'Accès Spécifique Santé (PASS);;300;0;6;48;148;66;6;0;2;17;54;24;2;296;6719
IDRAC Business School - Campus de PARIS;Formation des écoles de commerce et de management Bac + 3;Approfondissement en : marketing digital, international, sport & business et approfondissement personnalisable;300;0;19;7;3;0;0;0;66;24;10;0;0;37;659
Université de Nîmes;Licence - Histoire - Parcours  Histoire et patrimoine;Histoire et patrimoine;300;0;37;28;13;6;0;0;44;33;15;7;0;133;896
Université des Antilles - Pôle Martinique;Licence - Portail Droit - Droit - Martinique;Droit - Martinique;300;0;59;31;18;5;0;0;52;27;16;4;0;125;559
Université de Caen Normandie;Licence - Arts du spectacle;;300;0;107;59;27;2;1;0;55;30;14;1;1;291;1065
Université Paul Valery - Montpellier 3;Licence - Histoire;;300;0;59;60;42;9;0;0;35;35;25;5;0;308;2196
