Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Université Toulouse 2 Jean Jaurès;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Langue et culture japonaises;Langue et culture japonaises;600;0;92;64;18;4;0;0;52;36;10;2;0;466;1714
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;594;0;242;184;82;17;1;0;46;35;16;3;0;591;3669
Université de Poitiers;Licence - Psychologie;;580;0;178;161;80;16;1;0;41;37;18;4;0;580;4448
Université de la Réunion - Le Tampon;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;580;0;255;130;41;4;0;0;59;30;10;1;0;568;2148
Université de Lorraine - Site de Nancy;Licence - Portail Droit;;570;0;112;202;141;44;1;0;22;40;28;9;0;557;3716
Université de Lille;Licence - Portail Economie et gestion - Economie et management;Economie et management;570;0;178;89;51;10;1;0;54;27;16;3;0;565;4115
Universite Jean Monnet, Saint-Etienne;Licence - Portail Droit;;570;0;189;149;67;10;1;0;45;36;16;2;0;545;3101
Université de Bordeaux - Bordeaux Métropole;Licence - Administration économique et sociale;;565;0;188;121;47;10;0;0;51;33;13;3;0;531;4548
Université Paris Nanterre;Licence - Portail Psychologie;;560;0;22;132;146;29;0;0;7;40;44;9;0;555;10200
Université Claude Bernard Lyon 1;Licence - Portail Biosciences et Géosciences;Biosciences et Géosciences;560;0;111;115;59;26;0;0;36;37;19;8;0;557;5157
Université de Brest;Licence - Psychologie;;560;0;117;146;51;8;1;0;36;45;16;2;0;543;3007
Université de Strasbourg;Licence - Psychologie;;555;0;67;107;116;34;2;0;21;33;36;10;1;551;5808
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Histoire;;550;0;84;51;29;4;0;0;50;30;17;2;0;270;1480
Nantes Université;Licence - Portail Psychologie;;550;0;125;171;81;17;2;0;32;43;20;4;1;552;6641
Université de Paris;Licence - Parcours d'Accès Spécifique Santé (PASS);Santé des populations;550;0;3;27;201;264;26;0;1;5;39;51;5;545;10642
Université de Montpellier;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS;STAPS;540;0;168;197;86;12;1;0;36;42;18;3;0;534;6584
Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales;Licence - Portail Histoire;;540;0;111;92;56;15;1;0;40;33;20;5;0;527;2827
Université de Strasbourg;Licence - Sciences et Techniques des Activités Physiques et Sportives;;540;0;186;174;69;12;0;0;42;39;16;3;0;537;3588
Université d'Amiens;Licence - Droit;;536;0;151;160;104;25;2;0;34;36;23;6;0;541;2885
Université Panthéon- Assas Paris2 - Antenne Melun;Licence - Droit;;535;0;117;231;140;38;4;0;22;44;26;7;1;532;2507
Université Grenoble Alpes;Licence - Portail Droit - Droit - Grenoble;Droit - Grenoble;533;0;118;156;134;25;1;0;27;36;31;6;0;511;3852
Université Toulouse 2 Jean Jaurès;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Etudes anglophones;Etudes anglophones;530;0;139;140;81;14;0;0;37;37;22;4;0;572;2563
Université de Paris;Licence - Portail Droit;;527;0;27;150;194;57;1;0;6;35;45;13;0;514;8986
Université de Strasbourg;Licence - Economie et gestion;;525;0;115;133;76;20;1;0;33;38;22;6;0;523;4426
Université Toulouse 2 Jean Jaurès;Licence - Histoire;;520;0;100;99;41;10;2;0;40;39;16;4;1;516;2659
Université Grenoble Alpes;Licence - Portail Economie et gestion - Economie et Gestion - Grenoble;Economie et Gestion - Grenoble;520;0;163;105;50;6;0;0;50;32;15;2;0;469;4113
ESCE;Formation des écoles de commerce et de management;;520;0;71;56;20;4;0;0;47;37;13;3;0;167;5798
Aix Marseille Université - Site d'Aix-en-Provence (Jules Ferry);Licence - Portail Administration économique et sociale - Economie et Gestion - Gestion;Administration économique et sociale - Economie et Gestion - Gestion;519;0;137;124;66;15;0;0;40;36;19;4;0;492;4128
Aix-Marseille Université - Site de Marseille Colbert;Licence - Portail Administration économique et sociale ? Economie et gestion - Gestion;Administration économique et sociale ? Economie et gestion - Gestion;516;0;151;63;30;3;0;0;61;25;12;1;0;497;4343
Université de Lille;Licence - Portail Sciences de la vie, de la Terre et de l'environnememt;Sciences de la vie, de la Terre et de l'environnememt;510;0;97;93;81;28;0;0;32;31;27;9;0;496;4094
Université Côte d'Azur;Licence - Portail Psychologie;;508;0;63;144;73;11;0;0;22;49;25;4;0;501;6363
Université Bordeaux Montaigne;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Licence 1 - Anglais;Licence 1 - Anglais;500;0;131;132;62;9;0;0;39;40;19;3;0;495;2960
Université Toulouse 2 Jean Jaurès;Licence - Lettres - Parcours Lettres modernes;Lettres modernes;500;0;43;34;13;3;2;0;45;36;14;3;2;311;1699
Université de Nîmes;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Anglais;Anglais;500;0;43;41;8;1;0;0;46;44;9;1;0;169;1265
IESEG School of Management - Paris La Défense;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole;500;0;41;170;266;78;2;0;7;31;48;14;0;597;5631
Université d'Amiens;Licence - Portail Psychologie;;500;0;150;120;68;28;2;0;41;33;18;8;1;504;4526
Université de La Réunion - Saint Denis;Licence - Portail Droit;: Université de La Réunion - Saint Denis;500;0;114;94;43;7;0;0;44;36;17;3;0;363;1704
Université de Lille;Licence - Portail SESI : chimie-électronique,énergie électrique, automatique (EEEA)-génie civil-informatique-mathématiques-mécanique-physique-physique/chimie;SESI : chimie-électronique,énergie électrique, automatique (EEEA)-génie civil-informatique-mathématiques-mécanique-physique-physique/chimie;500;0;57;60;41;8;1;0;34;36;24;5;1;387;3218
Université de Lille;Licence - Science politique;;500;0;9;70;257;132;12;0;2;15;53;27;2;494;5651
Aix-Marseille Université - Site de Marseille Luminy;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Sciences et Techniques des Activités Physiques et Sportives-Tronc commun- (Site de Luminy);Tronc commun- (Site de Luminy);500;0;169;162;84;10;2;0;40;38;20;2;0;496;4571
Université de Rennes 2;Licence - Portail Psychologie;;500;0;100;146;77;12;0;0;30;44;23;4;0;522;6385
Université de Nîmes;Licence - Portail Droit;;500;0;129;109;33;5;0;0;47;39;12;2;0;410;3338
Université de Reims Champagne-Ardenne;Licence - Droit;;494;0;145;138;95;26;0;0;36;34;24;6;0;489;2354
Université de Rennes 1;Licence - Portail Portail Economie gestion;Portail Economie gestion;485;0;102;100;48;12;0;0;39;38;18;5;0;403;3589
Université Côte d'Azur;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;482;0;180;150;39;7;1;0;48;40;10;2;0;467;5112
Université Claude Bernard Lyon 1;Licence - Portail portail Physique / Chimie / Sciences de l'Ingénieur;portail Physique / Chimie / Sciences de l'Ingénieur;480;0;54;52;35;11;1;0;35;34;23;7;1;394;4717
Université d'Orléans;Licence - Portail 11 - Sciences de la Vie-Sciences de la Terre-Chimie;11 - Sciences de la Vie-Sciences de la Terre-Chimie;480;0;63;47;18;2;0;0;48;36;14;2;0;266;1593
Université Grenoble Alpes;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Sciences et Techniques des Activités Physiques et Sportives (STAPS) - Grenoble;Sciences et Techniques des Activités Physiques et Sportives (STAPS) - Grenoble;480;0;195;131;44;10;1;0;51;34;12;3;0;471;4666
Université de Brest;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS;STAPS;480;0;160;181;66;14;0;0;38;43;16;3;0;478;3231
Université de Bourgogne - site de Dijon;Licence - Portail Droit;;475;0;130;164;99;25;0;0;31;39;24;6;0;470;2806
Université de Lille;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;465;0;128;165;95;11;0;0;32;41;24;3;0;462;4120
Université de Cergy-Pontoise - CY SUP;Licence - Economie et gestion - Parcours Économie, Finance et Gestion;Économie, Finance et Gestion;465;0;238;121;26;5;0;0;61;31;7;1;0;440;4076
Université de Bourgogne - site de Dijon;Licence - Portail Psychologie;;465;0;127;126;76;16;2;0;37;36;22;5;1;462;4016
